,CalenderId,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay
0,7,1900,1,1,1900,1,1
1,9,1902,4,18,1902,4,18
2,10,1902,4,8,1902,4,8
3,11,1902,10,24,1902,10,24
4,12,1903,4,29,1903,4,29
5,13,1903,1,1,1903,1,1
6,14,1904,11,1,1904,11,1
7,15,1905,8,13,1905,8,13
8,16,1905,4,4,1905,4,4
9,17,1906,8,16,1906,8,16
10,18,1906,1,31,1906,1,31
11,19,1906,5,14,1906,5,14
12,20,1906,4,1,1906,4,1
13,21,1906,9,8,1906,9,8
14,22,1907,10,21,1907,10,21
15,24,1908,4,26,1908,4,26
16,25,1909,10,15,1909,10,15
17,26,1909,12,1,1909,12,1
18,28,1909,6,11,1909,6,11
19,29,1909,11,12,1909,11,12
20,31,1910,1,1,1914,1,1
21,32,1910,3,5,1910,3,5
22,35,1910,4,13,1910,4,13
23,36,1910,6,24,1910,6,24
24,39,1911,4,1,1911,4,1
25,40,1911,7,11,1911,7,11
26,41,1911,1,1,1911,1,1
27,42,1912,6,30,1912,6,30
28,43,1912,8,1,1912,8,1
29,44,1914,6,26,1914,6,26
30,45,1915,3,22,1915,3,22
31,46,1915,1,1,1915,1,1
32,47,1915,8,12,1915,8,12
33,48,1916,11,21,1916,11,21
34,49,1917,7,31,1917,7,31
35,50,1917,1,1,1917,1,1
36,51,1917,12,25,1917,12,25
37,52,1917,1,21,1917,1,21
38,53,1918,2,13,1918,2,13
39,57,1919,1,1,1923,1,1
40,58,1919,9,23,1919,9,23
41,59,1919,5,1,1919,5,1
42,60,1920,12,16,1920,12,16
43,61,1920,1,1,1920,1,1
44,64,1920,8,1,1920,8,1
45,68,1922,11,11,1922,11,11
46,70,1922,4,19,1922,4,19
47,71,1922,9,30,1922,9,30
48,72,1922,7,27,1922,7,27
49,74,1923,5,7,1923,5,7
50,75,1923,3,24,1923,3,24
51,76,1923,8,12,1923,8,12
52,77,1924,3,3,1924,3,3
53,78,1924,12,2,1924,12,2
54,79,1924,9,23,1924,9,23
55,81,1925,3,16,1925,3,16
56,82,1925,12,1,1925,12,1
57,83,1925,5,10,1925,5,10
58,84,1926,5,19,1926,5,19
59,85,1926,7,26,1926,7,26
60,86,1926,11,5,1926,11,5
61,87,1926,10,20,1926,10,20
62,88,1926,6,1,1926,6,1
63,89,1926,6,26,1926,6,26
64,90,1926,11,24,1926,11,24
65,91,1926,7,19,1926,7,19
66,93,1927,12,1,1927,12,1
67,94,1927,5,23,1927,5,23
68,95,1927,9,26,1927,9,26
69,96,1927,11,1,1927,11,1
70,97,1927,7,23,1927,7,23
71,99,1928,1,1,1928,1,1
72,100,1928,4,14,1928,4,14
73,101,1928,11,18,1928,11,18
74,104,1928,9,15,1928,9,15
75,106,1928,8,4,1928,8,4
76,107,1928,10,19,1928,10,19
77,108,1929,9,26,1929,9,26
78,109,1929,7,1,1929,7,1
79,110,1930,12,2,1930,12,2
80,111,1930,9,3,1930,9,3
81,113,1930,11,13,1930,11,13
82,114,1930,6,13,1930,6,13
83,115,1930,1,1,1930,1,1
84,116,1931,1,1,1940,1,1
85,117,1931,7,1,1931,8,1
86,118,1931,9,10,1931,9,10
87,119,1931,2,14,1931,2,14
88,120,1931,2,16,1931,2,16
89,122,1931,12,13,1931,12,13
90,123,1932,11,9,1932,11,9
91,124,1932,5,8,1932,5,8
92,125,1932,5,14,1932,5,14
93,126,1933,8,25,1933,8,25
94,127,1933,1,1,1933,1,1
95,128,1934,3,23,1934,3,23
96,129,1935,9,29,1935,9,29
97,130,1935,1,1,1935,1,1
98,131,1935,9,28,1935,9,28
99,132,1935,10,21,1935,10,21
100,134,1935,11,13,1935,11,13
101,135,1936,8,24,1936,8,24
102,136,1936,7,6,1936,7,6
103,137,1936,9,9,1936,9,9
104,138,1936,10,28,1936,10,28
105,139,1937,10,11,1937,10,11
106,140,1937,9,1,1937,9,2
107,141,1938,5,20,1938,5,20
108,142,1939,1,24,1939,1,24
109,143,1939,6,22,1939,6,22
110,144,1939,1,1,1939,1,1
111,145,1939,7,1,1939,7,1
112,146,1940,1,1,1944,1,1
113,150,1941,5,21,1941,5,21
114,151,1941,2,19,1941,2,19
115,152,1942,1,1,1942,1,1
116,153,1942,10,1,1942,10,1
117,154,1942,1,3,1942,1,3
118,155,1942,2,19,1942,2,19
119,156,1942,5,13,1942,5,13
120,157,1942,10,14,1942,10,14
121,158,1943,4,6,1943,4,6
122,159,1943,1,1,1943,1,1
123,160,1943,3,6,1943,3,6
124,161,1943,7,23,1943,7,23
125,162,1943,7,24,1943,7,24
126,163,1943,10,3,1943,10,3
127,164,1944,10,18,1944,10,18
128,165,1944,1,15,1944,1,15
129,166,1944,1,1,1944,1,1
130,167,1944,6,14,1944,6,14
131,169,1945,9,14,1945,9,14
132,170,1945,9,18,1945,9,18
133,171,1946,8,2,1946,8,2
134,172,1946,8,4,1946,8,4
135,173,1946,1,1,1946,1,1
136,174,1946,10,1,1946,10,1
137,175,1946,6,17,1946,6,17
138,177,1946,2,12,1946,2,12
139,178,1947,10,21,1947,10,21
140,179,1947,7,1,1947,7,1
141,181,1947,10,7,1947,10,7
142,182,1948,10,12,1948,10,12
143,183,1948,12,1,1948,12,1
144,184,1948,10,1,1948,10,1
145,185,1948,6,1,1948,6,1
146,186,1948,9,1,1948,9,1
147,187,1948,5,1,1948,5,1
148,188,1948,9,21,1948,9,21
149,189,1948,10,5,1948,10,5
150,190,1948,9,18,1948,9,18
151,191,1949,8,5,1949,8,5
152,192,1949,4,19,1949,4,19
153,193,1949,12,17,1949,12,17
154,194,1949,5,1,1949,5,1
155,195,1949,7,1,1949,7,1
156,196,1949,1,1,1949,1,1
157,197,1949,8,1,1949,8,1
158,198,1949,10,1,1949,10,1
159,199,1949,10,27,1949,10,27
160,200,1950,8,15,1950,8,15
161,201,1950,9,1,1950,9,1
162,202,1950,11,1,1950,11,1
163,203,1950,5,5,1950,5,5
164,204,1950,8,14,1950,8,14
