,DisasterId,DisasterSubgroup,DisasterType,Event Name,Origin
0,7,Climatological,Drought,,
1,9,Geophysical,Earthquake,,
2,10,Geophysical,Volcanic activity,Santa Maria,
3,12,Geophysical,Mass movement (dry),,
4,13,Geophysical,Volcanic activity,Mount Karthala,
5,14,Meteorological,Storm,,
6,19,Hydrological,Flood,,
7,32,Hydrological,Landslide,,
8,40,Climatological,Wildfire,,
9,59,Geophysical,Volcanic activity,Mt. Kelud,
10,101,Geophysical,Earthquake,,Earthquake
11,104,Meteorological,Storm,Felipe,
12,106,Geophysical,Earthquake,,Volacno and landslide
13,112,Meteorological,Storm,San Zenon,
14,115,Geophysical,Volcanic activity,Mt. Merapi,
15,132,Meteorological,Storm,Jeremie & Jacmel,
16,136,Meteorological,Extreme temperature ,,
17,184,Geophysical,Volcanic activity,,
18,196,Geophysical,Volcanic activity,Purace,
19,201,Meteorological,Storm,Dog,
20,219,Meteorological,Fog,,
21,237,Meteorological,Storm,Alice,
22,240,Meteorological,Storm,Hazel,
23,254,Meteorological,Storm,Janet,
24,271,Meteorological,Storm,Betsy,
25,282,Meteorological,Storm,Gloria,
26,301,Meteorological,Storm,Ellen,
27,302,Meteorological,Storm,Iris,
28,311,Meteorological,Storm,Donna,
29,318,Meteorological,Storm,Mary,
30,319,Climatological,Drought,,Late arrival of rain
31,324,Meteorological,Storm,Hattie,
32,329,Meteorological,Storm,Olga,
33,339,Meteorological,Storm,Karen,
34,340,Meteorological,Storm,Wanda,
35,347,Meteorological,Storm,Flora,
36,350,Meteorological,Storm,Edith,
37,357,Geophysical,Volcanic activity,Mt. Agung,
38,368,Meteorological,Storm,Ruby,
39,370,Meteorological,Storm,Cleo,
40,375,Meteorological,Storm,Dot,
41,405,Meteorological,Storm,Agnes,
42,413,Meteorological,Storm,Inez,
43,442,Geophysical,Volcanic activity,Mt. Awu,
44,467,Meteorological,Storm,Kate,
45,488,Geophysical,Volcanic activity,Mount Arenal,
46,489,Meteorological,Storm,Gladys,
47,497,Meteorological,Storm,Shirley,
48,528,Meteorological,Storm,Francelia,
49,530,Meteorological,Storm,Viola,
50,540,Meteorological,Storm,Ada,
51,553,Meteorological,Storm,Fran,
52,580,Meteorological,Storm,Althea,
53,598,Meteorological,Storm,Rose,
54,611,Meteorological,Storm,Bebe,
55,642,Meteorological,Storm,Juliette,
56,643,Meteorological,Storm,Lottie,
57,653,Meteorological,Storm,Tracy,
58,662,Meteorological,Storm,Carmen & Fifi,
59,676,Meteorological,Storm,Carmen,
60,677,Meteorological,Storm,Elaine,
61,678,Meteorological,Storm,Fifi,
62,683,Hydrological,Flood,,Typhoon 
63,694,Geophysical,Volcanic activity,Mt Arenal,
64,695,Geophysical,Volcanic activity,El Sangay,
65,698,Meteorological,Storm,Val,
66,700,Meteorological,Storm,Elsie,
67,728,Meteorological,Storm,Capella,
68,732,Geophysical,Volcanic activity,Cotopaxi,
69,737,Geophysical,Volcanic activity,Mount Soufriere,
70,740,Meteorological,Storm,Pamela,
71,742,Meteorological,Storm,Violet,
72,788,Geophysical,Volcanic activity,Nyiragongo,
73,790,Hydrological,Flood,,Heavy rains
74,794,Meteorological,Storm,Freda,
75,811,Meteorological,Storm,Alby,
76,819,Meteorological,Storm,Greta,
77,829,Meteorological,Storm,Bob,
78,855,Geophysical,Volcanic activity,Mount Pelee,
79,865,Geophysical,Volcanic activity,Mt. Vesuve,
80,876,Hydrological,Flood,,Meteorological
81,886,Geophysical,Volcanic activity,Mount Taal,
82,897,Geophysical,Volcanic activity,Mount Sakurajima,
83,928,Geophysical,Volcanic activity,Mount Tokachi,
84,940,Meteorological,Storm,San Felipe / Okeechobee ,
85,960,Meteorological,Storm,San Ciprian,
86,989,Geophysical,Volcanic activity,Tavurvur,
