,Year,Life_expectancy_at_birth__historical_,Population,CntryCd
0,1960,32.5,8622466,AFG
1,1961,33.1,8790140,AFG
2,1962,33.5,8969047,AFG
3,1963,34,9157465,AFG
4,1964,34.5,9355514,AFG
5,1965,35,9565147,AFG
6,1966,35.5,9783147,AFG
7,1967,35.9,10010030,AFG
8,1968,36.4,10247780,AFG
9,1969,36.9,10494489,AFG
10,1970,37.4,10752971,AFG
11,1971,37.9,11015857,AFG
12,1972,38.4,11286753,AFG
13,1973,39,11575305,AFG
14,1974,39.5,11869879,AFG
15,1975,40.1,12157386,AFG
16,1976,40.6,12425267,AFG
17,1977,41.2,12687301,AFG
18,1978,40.3,12938862,AFG
19,1979,39.1,12986369,AFG
20,1980,39.6,12486631,AFG
21,1981,40.2,11155195,AFG
22,1982,37.8,10088289,AFG
23,1983,38.2,9951449,AFG
24,1984,33.3,10243686,AFG
25,1985,33.6,10512221,AFG
26,1986,39.4,10448442,AFG
27,1987,39.8,10322758,AFG
28,1988,44,10383460,AFG
29,1989,45.2,10673168,AFG
30,1990,46,10694796,AFG
31,1991,46.7,10745167,AFG
32,1992,47.6,12057433,AFG
33,1993,51.5,14003760,AFG
34,1994,51.5,15455555,AFG
35,1995,52.5,16418912,AFG
36,1996,53.2,17106595,AFG
37,1997,53.6,17788819,AFG
38,1998,52.9,18493132,AFG
39,1999,54.8,19262847,AFG
40,2000,55.3,19542982,AFG
41,2001,55.8,19688632,AFG
42,2002,56.5,21000256,AFG
43,2003,57.3,22645130,AFG
44,2004,57.9,23553551,AFG
45,2005,58.4,24411191,AFG
46,2006,58.7,25442944,AFG
47,2007,59.1,25903301,AFG
48,2008,59.9,26427199,AFG
49,2009,60.4,27385307,AFG
50,2010,60.9,28189672,AFG
51,2011,61.4,29249157,AFG
52,2012,61.9,30466479,AFG
53,2013,62.4,31541209,AFG
54,2014,62.5,32716210,AFG
55,2015,62.7,33753499,AFG
56,2016,63.1,34636207,AFG
57,2017,63,35643418,AFG
58,2018,63.1,36686784,AFG
59,2019,63.6,37769499,AFG
60,2020,62.6,38972230,AFG
61,2021,62,40099462,AFG
62,1960,38.2,5357195,AGO
63,1961,37.3,5441333,AGO
64,1962,37.5,5521400,AGO
65,1963,37.8,5599827,AGO
66,1964,38.1,5673199,AGO
67,1965,38.5,5736582,AGO
68,1966,38.8,5787044,AGO
69,1967,39.1,5827503,AGO
70,1968,39.5,5868203,AGO
71,1969,39.8,5928386,AGO
72,1970,40.2,6029700,AGO
73,1971,40.6,6177049,AGO
74,1972,40.9,6364731,AGO
75,1973,41.3,6578230,AGO
76,1974,41.7,6802494,AGO
77,1975,41.2,7032713,AGO
78,1976,41.2,7266780,AGO
79,1977,41.4,7511895,AGO
80,1978,41.8,7771590,AGO
81,1979,42.2,8043218,AGO
82,1980,42.4,8330047,AGO
83,1981,42.8,8631457,AGO
84,1982,43.1,8947152,AGO
85,1983,42.1,9276707,AGO
86,1984,42.4,9617702,AGO
87,1985,42.6,9970621,AGO
88,1986,42.8,10332574,AGO
89,1987,40.9,10694057,AGO
90,1988,41.5,11060261,AGO
91,1989,41.8,11439498,AGO
92,1990,41.9,11828638,AGO
93,1991,43.8,12228691,AGO
94,1992,42.2,12632507,AGO
95,1993,42.1,13038270,AGO
