,LocationId,Location,Region,CntryCd
0,7,Countrywide,Western Africa,CPV
1,8,Bengal,Southern Asia,IND
2,9,Quezaltenango,Central America,GTM
3,9, San Marcos,Central America,GTM
4,10,none,Central America,GTM
5,12,Frank,Northern America,CAN
6,12, Alberta,Northern America,CAN
7,13,none,Eastern Africa,COM
8,14,Chittagong,Southern Asia,BGD
9,15,Spence's Bridge,Northern America,CAN
10,15, British Columbia,Northern America,CAN
11,16,Kangra,Southern Asia,IND
12,17,Valparaiso,South America,CHL
13,18,Tumako,South America,COL
14,19,Louvain region,Western Europe,BEL
15,20,none,Western Europe,BEL
16,21,none,Eastern Asia,HKG
17,22,Tien Shan,Eastern Asia,CHN
18,24,Notre Dame de La Salette,Northern America,CAN
19,24, Quebec,Northern America,CAN
20,25,Bakerganj,Southern Asia,BGD
21,26,West Sundarbans,Southern Asia,BGD
22,28,Lambesc,Western Europe,FRA
23,28, Saint-Cannat,Western Europe,FRA
24,28, Rognes,Western Europe,FRA
25,28, Vernegues,Western Europe,FRA
26,28, Charleval,Western Europe,FRA
27,28, La Roque d'Antheron (Haute-Provence),Western Europe,FRA
28,29,Cul de Sac,Caribbean,HTI
29,29,Leogane,Caribbean,HTI
30,31,none,Western Africa,BFA
31,32,Roger's Pass,Northern America,CAN
32,34,none,Western Africa,CPV
33,35,Cartago,Central America,CRI
34,36,Kabylie,Northern Africa,DZA
35,36, Masqueray,Northern Africa,DZA
36,37,none,Western Africa,GMB
37,38,none,Western Africa,GNB
38,39,Teknaf,Southern Asia,BGD
39,40,Cochrane (and Northern Region),Northern America,CAN
40,40, Ontario,Northern America,CAN
41,41,none,Eastern Asia,CHN
42,42,Regina,Northern America,CAN
43,42, Saskatchewan,Northern America,CAN
44,43,Wenchou,Eastern Asia,CHN
45,44,Kepahyang,South-Eastern Asia,IDN
46,44, Bengkulu (Sumatera),South-Eastern Asia,IDN
47,45,Cooper Mine,Northern America,CAN
48,46,Guangzhou,Eastern Asia,CHN
49,47,South,Caribbean,HTI
50,47, Southwest area,Caribbean,HTI
51,48,Cuddalore,Southern Asia,IND
52,48, Pondicherry,Southern Asia,IND
53,49,Yunnan province,Eastern Asia,CHN
54,50,Tianjin,Eastern Asia,CHN
55,51,Guatemala city,Central America,GTM
56,52,Bali,South-Eastern Asia,IDN
57,53,Kwangtung (Guangdong),Eastern Asia,CHN
58,57,none,Caribbean,AIA
59,59,Small Island between Java and Sumatra,South-Eastern Asia,IDN
60,60,Gansu,Eastern Asia,CHN
61,60, Shanxi provinces,Eastern Asia,CHN
62,63,North,Eastern Asia,CHN
63,64,Danube area,Western Europe,DFR
64,68,Atacama,South America,CHL
65,71,Haileybury,Northern America,CAN
66,72,Swatow,Eastern Asia,CHN
67,74,Cox's Bazar,Southern Asia,BGD
68,74, Chittagong,Southern Asia,BGD
69,75,Sichuan,Eastern Asia,CHN
70,77,Chimborazo,South America,ECU
71,78,Wonosobo (Central Java),South-Eastern Asia,IDN
72,79,Punjab province,Southern Asia,IND
73,81,Talifu (Yunnan province),Eastern Asia,CHN
74,82,Rhine area,Western Europe,DFR
75,83,Bezwada,Southern Asia,IND
76,83, Masulipatam,Southern Asia,IND
77,85,Nassau,Caribbean,BHS
78,86,Pereira,South America,COL
79,87,Havana and suburbs,Caribbean,CUB
80,89,Basse-Egypte,Northern Africa,EGY
81,90,Roquebillière (Alpes-Maritimes),Western Europe,FRA
82,93,Sulawesi,South-Eastern Asia,IDN
83,93, Donggala,South-Eastern Asia,IDN
84,94,Gansu province,Eastern Asia,CHN
85,95,Yeng-Kong,Eastern Asia,CHN
86,96,Mostaganem,Northern Africa,DZA
87,97,Gujarat,Southern Asia,IND
88,97, Ahmedabad,Southern Asia,IND
89,97, Baroda,Southern Asia,IND
90,98,Nellore,Southern Asia,IND
91,100,Plovdiv,Eastern Europe,BGR
92,101,Burin Peninsula,Northern America,CAN
93,101, Newfoundland,Northern America,CAN
94,102,Talca,South America,CHL
95,103,Shensi,Eastern Asia,CHN
96,103, Honan,Eastern Asia,CHN
97,103, Kansu,Eastern Asia,CHN
98,104,none,Caribbean,GLP
99,105,none,Southern Europe,GRC
100,106,Flores sea,South-Eastern Asia,IDN
101,107,Godavari,Southern Asia,IND
102,107, Vizagapatnam,Southern Asia,IND
103,109,Bavaria,Western Europe,DFR
104,109, Baden-Wurtemberg,Western Europe,DFR
105,110,Meuse Valley,Western Europe,BEL
106,111,San Zenon,Caribbean,DMA
107,112,Santo Domingo,Caribbean,DOM
108,113,Lyon (Rhone) - Colline des Balmes,Western Europe,FRA
109,113, quartier Saint-Jean,Western Europe,FRA
110,114,Siatista,Southern Europe,GRC
111,115,Java Island,South-Eastern Asia,IDN
112,116,Prairie provinces,Northern America,CAN
113,116, Western Canada,Northern America,CAN
114,118,Belize city,Central America,BLZ
115,119,Huigra,South America,ECU
116,120,Labasa,Melanesia,FJI
117,120, Lautoka,Melanesia,FJI
118,121,none,Central America,HND
119,122,none,South-Eastern Asia,IDN
120,123,Santa Cruz Del Sur (Camaguey province),Caribbean,CUB
121,124,Lyon (Rhone),Western Europe,FRA
122,124, cours d'Herbouville,Western Europe,FRA
123,125,Kakas,South-Eastern Asia,IDN
124,125, Langowan,South-Eastern Asia,IDN
125,125, Poso,South-Eastern Asia,IDN
126,125, Tondano (North Sulawesi),South-Eastern Asia,IDN
127,126,Sichuan prpvince,Eastern Asia,CHN
128,127,Henan,Eastern Asia,CHN
129,127, Hebei,Eastern Asia,CHN
130,127, Shandong,Eastern Asia,CHN
131,127, Jiangsy,Eastern Asia,CHN
132,128,Canton,Eastern Asia,CHN
133,129,Bimini,Caribbean,BHS
134,131,none,Caribbean,CUB
135,132,none,Caribbean,HTI
136,133,none,Southern Asia,IND
137,134,Madras,Southern Asia,IND
138,134, Negapatam,Southern Asia,IND
139,135,Banda Aceh,South-Eastern Asia,IDN
140,135, Lhok Sukon,South-Eastern Asia,IDN
141,135, Lhoksemawe,South-Eastern Asia,IDN
142,136,Nationwide (except Yukon and Nothwest territories),Northern America,CAN
143,137,Tapanuli,South-Eastern Asia,IDN
144,137, Karo (North Sumatera),South-Eastern Asia,IDN
145,138,Guntur (Madras),Southern Asia,IND
146,139,Noakhali,Southern Asia,BGD
147,141,Tomini Gulf (Central Sulawesi),South-Eastern Asia,IDN
148,142,Chillan region (Concepcion),South America,CHL
149,143,Accra,Western Africa,GHA
150,144,Victoria New South Wales,Australia and New Zealand,AUS
151,145,Honan province,Eastern Asia,CHN
152,147,Nicolau,Western Africa,CPV
153,147, Fogo,Western Africa,CPV
154,147, Sao Tiago,Western Africa,CPV
155,150,Bhola,Southern Asia,BGD
156,150, East Meghna estuary,Southern Asia,BGD
157,151,Viti Levu,Melanesia,FJI
158,152,Calcutta,Southern Asia,IND
159,152, Bengal region,Southern Asia,IND
160,154,Southern China,Eastern Asia,CHN
161,154, Yunnan,Eastern Asia,CHN
162,155, Palmeston,Polynesia,COK
163,155, Suwarrow,Polynesia,COK
164,156,Guayaquavil,South America,ECU
165,157,Orissa,Southern Asia,IND
166,157, West Bengal,Southern Asia,IND
167,158,Illapel,South America,CHL
168,159,none,Southern Asia,BGD
169,160,Rarotonga,Polynesia,COK
170,161,Jogyakarta (Central Java),South-Eastern Asia,IDN
171,162,Rajputana,Southern Asia,IND
172,164,Isle of Pines,Caribbean,CUB
173,164, La Havana,Caribbean,CUB
174,165,San Juan,South America,ARG
175,166,Western District Victoria,Australia and New Zealand,AUS
176,167,Assam,Southern Asia,IND
177,169,none,Caribbean,BHS
178,170, Punjab,Southern Asia,IND
179,171,Northern,South America,CHL
180,172,Northeasetrn coast,Caribbean,DOM
181,174,none,Southern Europe,AZO
182,175,Windsor,Northern America,CAN
183,176, Aitutaki,Polynesia,COK
184,177,Hodna Mountains,Northern Africa,DZA
185,177, Constantine,Northern Africa,DZA
186,182,none,Northern America,BMU
187,183,none,South America,BRA
188,184,none,South America,CHL
189,185,Foochow coast,Eastern Asia,CHN
190,191,Pelileo,South America,ECU
191,191, Ambato,South America,ECU
192,192,Angol,South America,CHL
193,192, Traiguan,South America,CHL
194,193,Tierra del Fuego,South America,CHL
195,196,none,South America,COL
196,197,Landes,Western Europe,FRA
197,198,East,Central America,GTM
198,199,East & West Godavari districts,Southern Asia,IND
199,199, Masulipatnam,Southern Asia,IND
200,200,Assam province,Southern Asia,IND
201,201,none,Caribbean,ATG
202,203,Winnipeg,Northern America,CAN
203,203, Manitoba,Northern America,CAN
204,204,Anhwei province,Eastern Asia,CHN
205,205,Santander,South America,COL
206,205, Amboledas,South America,COL
207,206,none,South America,ECU
208,207,Saurashtra,Southern Asia,IND
209,208,West,Southern Asia,IND
210,211,none,Western Europe,CHE
211,212,Manchuria,Eastern Asia,CHN
212,215,none,Western Europe,AUT
213,216,none,Northern Africa,DZA
214,217,Near Suva,Melanesia,FJI
215,218,Lynmouth,Northern Europe,GBR
216,219,London,Northern Europe,GBR
217,220,Anse-a-Veau,Caribbean,HTI
218,221,Tanjore,Southern Asia,IND
219,221, Tiruchi,Southern Asia,IND
220,223,Chillan,South America,CHL
221,223, Concepcion,South America,CHL
222,224,Paphos,Western Asia,CYP
223,225,Zakinthos (Zante),Southern Europe,GRC
224,225, Céphalonie (Ionian Islands),Southern Europe,GRC
225,226,Ostende,Western Europe,BEL
226,231,none,Southern Europe,ESP
227,235,Orleansville,Northern Africa,DZA
228,236,North Region,Southern Asia,AFG
229,237,Saint martin/Saba,Caribbean,ANT
230,238,Dalaas,Western Europe,AUT
231,239,Blons,Western Europe,AUT
232,239, Langen Valley,Western Europe,AUT
233,240,Toronto,Northern America,CAN
234,241,Tibet,Eastern Asia,CHN
235,242,Hopeh,Eastern Asia,CHN
236,242, Wuhan province,Eastern Asia,CHN
237,243,Medellin,South America,COL
238,245,none,Northern Africa,EGY
239,246,Sophades (Karditsa),Southern Europe,GRC
240,247,Berly,Caribbean,HTI
241,248,Southwestern,Caribbean,HTI
242,251,Punjab,Southern Asia,IND
243,253,none,Australia and New Zealand,AUS
244,254,Corozal area,Central America,BLZ
245,255,none,Caribbean,BRB
246,256,Nicolet (Quebec),Northern America,CAN
247,257,Kangting,Eastern Asia,CHN
248,257, Sikang (Sichuan province),Eastern Asia,CHN
249,258,Near Cairo,Northern Africa,EGY
250,262,Santorini,Southern Europe,GRC
251,262, Islands of Amorgos and Astypaiaia,Southern Europe,GRC
252,262, Aegean islands,Southern Europe,GRC
253,262, Crete,Southern Europe,GRC
254,262, Folegrandos,Southern Europe,GRC
255,263,Kabul,Southern Asia,AFG
256,264,none,Southern Asia,AFG
257,265,Verviers,Western Europe,BEL
258,268,Hopen-Honan province,Eastern Asia,CHN
259,270,Grenade (Andalousia),Southern Europe,ESP
260,273,Anjar,Southern Asia,IND
261,273, Bhuj,Southern Asia,IND
262,273, Gandhidham,Southern Asia,IND
263,273, Kandla,Southern Asia,IND
264,275,Parganas,Southern Asia,IND
265,275, Midnapore (West Bengal),Southern Asia,IND
266,276, Saurashtra,Southern Asia,IND
267,276, Kutch,Southern Asia,IND
268,277,Bihar,Southern Asia,IND
269,277, Uttar Pradesh,Southern Asia,IND
270,283,Madya Pradesh,Southern Asia,IND
271,286,none,South America,ARG
272,287,East Meghna Estuary,Southern Asia,BGD
273,290,Lau Islands,Melanesia,FJI
274,291,Gard,Western Europe,FRA
275,291, Hérault,Western Europe,FRA
276,292,Malang (East Java),South-Eastern Asia,IDN
277,295,Vishakhapatam,Southern Asia,IND
278,296,Madras city,Southern Asia,IND
279,300,Newfoundland,Northern America,CAN
280,302,Fukien province,Eastern Asia,CHN
281,307,Kutch,Southern Asia,IND
282,310,Puerto Montt,South America,CHL
283,310, Valdivia (Arauco peninsula),South America,CHL
284,311,South Hille and West End,Caribbean,AIA
285,312,St Martin Isl.,Caribbean,ANT
286,312, Saba,Caribbean,ANT
287,314, Off-Shore Islands,Southern Asia,BGD
288,315,Chittagong area,Southern Asia,BGD
289,317,Melouza,Northern Africa,DZA
290,317, Beni Illmane,Northern Africa,DZA
291,318,(Aberdeen,Eastern Asia,HKG
292,318, Stanley,Eastern Asia,HKG
293,318, Cheung Chau,Eastern Asia,HKG
294,320,Yuen Long,Eastern Asia,HKG
295,320, Sheung Shui (New Territories),Eastern Asia,HKG
296,321,Megna Eestuary,Southern Asia,BGD
297,324,Belize city other towns,Central America,BLZ
298,325,Western Canada,Northern America,CAN
299,326,Wollo,Eastern Africa,ETH
300,326, Karakore,Eastern Africa,ETH
301,327,Clamart (Hauts-de-Seine),Western Europe,FRA
302,330,Tsuen Wan area (New Territories),Eastern Asia,HKG
303,333,Fier,Southern Europe,ALB
304,333, Volre,Southern Europe,ALB
305,334,none,Northern America,CAN
306,335,Mistrato,South America,COL
307,335, Manizales,South America,COL
308,337,Hamburg,Western Europe,DFR
309,337, North Sea,Western Europe,DFR
310,338,Barcelona,Southern Europe,ESP
311,339,none,Micronesia,GUM
312,340,Tai Po,Eastern Asia,HKG
313,340, Shatin,Eastern Asia,HKG
314,340, Sha Tau Kok areas,Eastern Asia,HKG
315,344, Noakhali,Southern Asia,BGD
316,348,Mesata Central,Central America,CRI
317,349,All country,Caribbean,CUB
318,350,none,Caribbean,DMA
319,351,none,Caribbean,DOM
320,352,Southern,Northern Africa,DZA
321,353,none,Caribbean,GRD
322,354,South West End Hispaniola,Caribbean,HTI
323,356,Grand Riviare du Nord,Caribbean,HTI
324,360,Mysore,Southern Asia,IND
325,361,Sao Jorge Isl.,Southern Europe,AZO
326,362,Jessore district,Southern Asia,BGD
327,363,Rangpur,Southern Asia,BGD
328,363, Comilla,Southern Asia,BGD
329,364,Bahia state,South America,BRA
330,365,Northeastern states,South America,BRA
331,366,Paraiba,South America,BRA
332,366, Rio Grande Do Norte,South America,BRA
333,367,Villarica,South America,CHL
334,370, Barahona,Caribbean,DOM
335,370, Neiba Bay,Caribbean,DOM
336,376,Les Cayes area,Caribbean,HTI
337,377,Rameswaram,Southern Asia,IND
338,378,Rajasthan,Southern Asia,IND
339,378, center,Southern Asia,IND
340,379,Sanana Island,South-Eastern Asia,IDN
341,380,Nationwide except south,Southern Asia,IND
342,381,Mendoza,South America,ARG
343,381, Las Cuevas,South America,ARG
344,382,Barisal district,Southern Asia,BGD
345,384,Chittagong to Teknaf,Southern Asia,BGD
346,385,Rila mountains,Eastern Europe,BGR
347,386,Eleuthera,Caribbean,BHS
348,386, Abaco,Caribbean,BHS
349,386, Andr,Caribbean,BHS
350,387,Cangalli,South America,BOL
351,388,Pernambuco,South America,BRA
352,388, Recife,South America,BRA
353,389,South,South America,BRA
354,390,Nationwide,Southern Africa,BWA
355,391,Granuc Mine (British Columbia),Northern America,CAN
356,392,Saas-Fee,Western Europe,CHE
357,393,Coquimbo,South America,CHL
358,393, Santiago (Central Valley),South America,CHL
359,395,Antofagasta to Aisen,South America,CHL
360,397,Central,Eastern Asia,CHN
361,397, South-West,Eastern Asia,CHN
362,398,Manizales,South America,COL
363,399,Pico Duarte,Caribbean,DOM
364,400,M'sila & Environs,Northern Africa,DZA
365,401,Daule river Valley,South America,ECU
366,402,Nationwide,Eastern Africa,ETH
367,403,Throughout Islands,Melanesia,FJI
368,404,(1) Alonisos & Skopelos,Southern Europe,GRC
369,404, (2) C Patras,Southern Europe,GRC
370,404, Corinth,Southern Europe,GRC
371,404, (3) C Peloponnesus,Southern Europe,GRC
372,405,New Territories,Eastern Asia,HKG
373,407,South Valle,Central America,HND
374,407, Choluteca,Central America,HND
375,408,Central,Central America,HND
376,408, South,Central America,HND
377,410,Lombok,South-Eastern Asia,IDN
378,410, South,South-Eastern Asia,IDN
379,411,North West,South America,ARG
380,412,none,Polynesia,ASM
381,414,Nationwide,Western Africa,BFA
382,415, Sandwip,Southern Asia,BGD
383,416,Sylhet,Southern Asia,BGD
384,417, Bimini,Caribbean,BHS
385,419,none,South America,BOL
386,420,Puerto Grether,South America,BOL
387,420, Bermejo,South America,BOL
388,420, Vicchoca,South America,BOL
389,420, Totora,South America,BOL
390,421,Rio de Janeiro,South America,BRA
391,422,Rio,South America,BRA
392,422, Guanabara,South America,BRA
393,423,Salvador,South America,BRA
394,426,Winnipeg (Manitoba),Northern America,CAN
395,427,Taltal & Catalina,South America,CHL
396,428,Guantanamo,Caribbean,CUB
397,429,South East coast,Caribbean,DOM
398,429, Barhona,Caribbean,DOM
399,430,West El-Asnam,Northern Africa,DZA
400,431,Quito-Santo Domingo road,South America,ECU
401,432,Aberfan,Northern Europe,GBR
402,432, Wales,Northern Europe,GBR
403,434,Eurytania region,Southern Europe,GRC
404,435,(1) Megalopos,Southern Europe,GRC
405,435, (2) Central Greece,Southern Europe,GRC
406,440,South Hispaniola,Caribbean,HTI
407,441,Margomlujo (East Java),South-Eastern Asia,IDN
408,442,Sangi Talaud,South-Eastern Asia,IDN
409,443,Central,South-Eastern Asia,IDN
410,443, East Java,South-Eastern Asia,IDN
411,444,Madras state,Southern Asia,IND
412,445,Makassar Strait,South-Eastern Asia,IDN
413,445, Tinambung (South Sulawesi),South-Eastern Asia,IDN
414,446,Shupenze (Albania-Yugo Border),Southern Europe,ALB
415,447,Buenos Aires suburbs,South America,ARG
416,448,Hobart (Tasmania),Australia and New Zealand,AUS
417,449,South-East,Australia and New Zealand,AUS
418,450,Oostmalle,Western Europe,BEL
419,450, Ypres region,Western Europe,BEL
420,451,Dacca,Southern Asia,BGD
421,452,South,Southern Asia,BGD
422,452, near Cox's Bazar,Southern Asia,BGD
423,454,(1) Rio,South America,BRA
424,454, Sao Paulo,South America,BRA
425,454, Guanab,South America,BRA
426,454, (2) Rio,South America,BRA
427,454, (3) Rio,South America,BRA
428,454, (4) Sao Paulo,South America,BRA
429,454, Caraguatauba,South America,BRA
430,455,North-East,South America,BRA
431,456,Porto Alegre,South America,BRA
432,457, South West Bahia,South America,BRA
433,458,Kivu province,Middle Africa,COG
434,459, Mangaia,Polynesia,COK
435,460,Neiva (Huila deparment),South America,COL
436,460, Rivera,South America,COL
437,460, San Antonio,South America,COL
438,461,Aures Samura Constantine,Northern Africa,DZA
439,463,Milagro,South America,ECU
440,464,North,Western Europe,FRA
441,465,Arette,Western Europe,FRA
442,465, Lanne,Western Europe,FRA
443,465, Montory,Western Europe,FRA
444,465, Aramits,Western Europe,FRA
445,465, Haux,Western Europe,FRA
446,465, Sunhar (Pyrénées-Atlantiques),Western Europe,FRA
447,466,North West Mountains,Southern Europe,GRC
448,468,Dampit,South-Eastern Asia,IDN
449,468, Gondang,South-Eastern Asia,IDN
450,468, Trenggalek,South-Eastern Asia,IDN
451,468, Malang (East Java),South-Eastern Asia,IDN
452,469,East Java,South-Eastern Asia,IDN
453,470,Jakarta,South-Eastern Asia,IDN
